preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
225000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;1;64
212000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;100
749000;CENTRO;Casa;Carlos Henrique Nogueira;Pelotas RS;2;2;2;156
175000;FRAGATA;Casa de Condominio;Endereco Nao Informado;Pelotas RS;2;0;1;87
200000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;0;0;80
212000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;79
750000;CENTRO;Apartamento;Rua 15 de Novembro;Pelotas RS;4;2;1;151
1000000;CENTRO;Casa Comercial;;Pelotas RS;;0;0;204
165000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;50
350000;LARANJAL;Casa;;Pelotas RS;3;1;1;130
700000;LARANJAL;Casa;Coronel Paulo Alcides Porto Costa;Pelotas RS;3;0;3;320
160000;TRES VENDAS;Casa;;Pelotas RS;3;0;1;100
280000;Santa Terezinha;Casa;;Pelotas RS;2;0;2;123
96000;RECANTO DE PORTUGAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;300
1150000;TRES VENDAS;Casa;Fernando Osorio;Pelotas RS;3;0;3;318
138000;AREAL;Apartamento;Rua Dr Boaventura Leite;Pelotas RS;2;0;1;70
233000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
280000;CENTRO;Apartamento;General Osorio;Pelotas RS;1;0;1;90
620000;Las Acacias;Casa;;Pelotas RS;3;1;2;202
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
270000;CENTRO;Apartamento;;Pelotas RS;3;0;3;156
1370000;AREAL;Casa;Loteamento Parque dos Imigrantes;Pelotas RS;3;3;2;298
298000;CENTRO;Apartamento;;Pelotas RS;2;0;0;85
180000;TRES VENDAS;Casa;;Pelotas RS;3;0;1;110
477000;Santa Terezinha;Terreno Padrao;;Pelotas RS;;0;0;
560000;TRES VENDAS;Casa;;Pelotas RS;3;0;4;180
160000;FRAGATA;Casa;Avenida Imperador Dom Pedro I;Pelotas RS;2;0;1;60
500000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;4;1;2;250
980000;CENTRO;Casa;Rua Gomes Carneiro;Pelotas RS;6;1;2;500
279000;TRES VENDAS;Casa de Condominio;;Pelotas RS;3;1;1;85
90000;LARANJAL;Casa;Rua Encantado;Pelotas RS;2;0;0;50
700000;CENTRO;Casa;Alvaro Chaves;Pelotas RS;4;1;3;
297000;Bom Jesus;Casa;Professor Mario Peiruque;Pelotas RS;3;0;2;150
200000;CENTRO;Apartamento;;Pelotas RS;1;0;0;70
